ticker,cik,name,Q1,Q2,Q3,Q4,price,market_cap,trailing_PE
MU,0000723125,MICRON TECHNOLOGY INC,30391000000.0,8440000000.0,7797000000.0,7351000000.0,246.92,277871362048.0,32.53228
BK,0001390777,Bank of New York Mellon Corp,18619000000.0,17697000000.0,17502000000.0,16529000000.0,114.44,80707764224.0,16.51371
ROK,0001024478,"ROCKWELL AUTOMATION, INC",6666000000.0,1729500000.0,1698700000.0,1651200000.0,402.22,45223362560.0,52.3724
FICO,0000814547,FAIR ISAAC CORP,374356000.0,313731000.0,307971000.0,298504000.0,1760.45,42257235968.0,66.13261
MTB,0000036270,M&T BANK CORP,9643000000.0,8179000000.0,8178559000.0,1982817000.0,195.9,30613153792.0,12.100061
HUBS,0001404655,HUBSPOT INC,144022000.0,131826000.0,122576000.0,114556000.0,385.21,20297912320.0,
GLXY,0001859392,Galaxy Digital Inc.,50039632000.0,28401871000.0,21637761000.0,8661555000.0,26.09,10537255936.0,46.589287
TTEK,0000831641,TETRA TECH INC,841502000.0,825793000.0,722621000.0,717431000.0,33.58,8823931904.0,36.10753
HALO,0001159036,"HALOZYME THERAPEUTICS, INC.",121703000.0,65316000.0,55221000.0,25354000.0,62.88,7394499584.0,13.265823
QLYS,0001107843,"QUALYS, INC.",94801000.0,93069000.0,88830000.0,86263000.0,149.76,5405719040.0,29.023256
FORM,0001039399,FORMFACTOR INC,272805000.0,143976000.0,136694000.0,83083000.0,58.33,4521572352.0,110.05661
VCTR,0001570827,"Victory Capital Holdings, Inc.",218554000.0,214980000.0,91360000.0,87479000.0,62.76,4191324672.0,16.092306
TMC,0001798562,TMC the metals Co Inc.,814000.0,410000.0,179000.0,113000.0,7.8,4171714816.0,
BXMT,0001061630,"BLACKSTONE MORTGAGE TRUST, INC.",58258000.0,50386000.0,42466000.0,33656000.0,19.65,3371522816.0,31.190475
NUVB,0001811063,Nuvation Bio Inc.,21037000.0,13120000.0,7917000.0,4833000.0,8.58,2941510912.0,
CLVT,0001764046,CLARIVATE PLC,974345000.0,255013000.0,242998000.0,242309000.0,3.71,2493932800.0,
SAH,0001043509,SONIC AUTOMOTIVE INC,2748404000.0,2702720000.0,2614081000.0,2389138000.0,63.78,2179533824.0,17.14516
AMSC,0000880807,AMERICAN SUPERCONDUCTOR CORP /DE/,5300000.0,3900000.0,900000.0,0.0,32.46,1466763136.0,87.72973
RES,0000742278,RPC INC,41919000000.0,1809807000.0,1327025000.0,502235000.0,5.81,1281784064.0,26.40909
SEPN,0001984086,"Septerna, Inc.",21833000.0,21495000.0,338000.0,119000.0,25.96,1162337920.0,
TE,0001992243,T1 Energy Inc.,396741000.0,210522000.0,186219000.0,132767000.0,6.02,1278442112.0,
PEBO,0000318300,PEOPLES BANCORP INC,197000.0,144000.0,142000.0,125000.0,30.32,1082513920.0,10.601398
SERV,0001832483,Serve Robotics Inc. /DE/,946711.0,207545.0,164826.0,62565.0,13.42,999568320.0,
GES,0000912463,GUESS INC,799935000.0,643070000.0,628624000.0,520002000.0,16.92,882407360.0,14.586207
ANGX,0001865200,"Angel Studios, Inc.",211624538.0,76542482.0,65485798.0,20121166.0,5.12,863401280.0,
SENEA,0000088948,Seneca Foods Corp,1314765000.0,387689000.0,338470000.0,288927000.0,109.9,757216512.0,12.734647
NRGV,0001828536,"Energy Vault Holdings, Inc.",50365000.0,33319000.0,17046000.0,8512000.0,4.36,731564416.0,
BZH,0000915840,BEAZER HOMES USA INC,686748000.0,533112000.0,489413000.0,417804000.0,22.26,662456512.0,14.644737
CODI,0001345126,Compass Diversified Holdings,536612000.0,464975000.0,431525000.0,408556000.0,6.1,458939392.0,
CVLG,0000928658,"COVENANT LOGISTICS GROUP, INC.",272268000.0,243303000.0,196318000.0,173566000.0,21.55,539766656.0,20.140184
EVH,0001628908,"Evolent Health, Inc.",556055000.0,511015000.0,469136000.0,427690000.0,3.93,455766560.0,
MLAB,0000724004,MESA LABORATORIES INC /CO/,37964000.0,34172000.0,31860000.0,29941000.0,77.97,430573664.0,
DCTH,0000872912,"DELCATH SYSTEMS, INC.",10905000.0,7766000.0,3139000.0,1092000.0,9.64,340424288.0,321.33334
BZAI,0001871638,"Blaize Holdings, Inc.",14856000.0,11867000.0,2989000.0,1982000.0,2.42,293149472.0,
UCFI,0001901203,CN Healthy Food Tech Group Corp.,19884127.0,7905065.0,5254161.0,4291966.0,5.511,287867104.0,30.616667
PBYI,0001401667,"PUMA BIOTECHNOLOGY, INC.",66516000.0,27685000.0,21608000.0,6077000.0,5.4,272112000.0,7.2972975
PROF,0001628808,Profound Medical Corp.,10121000.0,5289000.0,4832000.0,2211000.0,6.78,208007680.0,
APYX,0000719135,Apyx Medical Corp,8295000.0,7823000.0,7274000.0,6128000.0,3.96,162477312.0,
CLPR,0001649096,Clipper Realty Inc.,30627000.0,29440000.0,28446000.0,27652000.0,3.5,148623808.0,
EPM,0001006655,EVOLUTION PETROLEUM CORP,13703078.0,7635748.0,5768152.0,5595376.0,4.12,142971120.0,
FRD,0000039092,FRIEDMAN INDUSTRIES INC,121157278.0,43962778.0,28033521.0,26077710.0,19.05,135487088.0,11.687116
ANNA,0001845123,"AleAnna, Inc.",15899878.0,11224868.0,4675010.0,4030410.0,3.27,132957808.0,
KG,0002055116,Kestrel Group Ltd,23841000.0,17445000.0,6396000.0,5555000.0,12.61,97625912.0,1.4444445
ADVM,0001501756,"Adverum Biotechnologies, Inc.",488000.0,395000.0,307000.0,265000.0,4.36,96257760.0,
VRCA,0001660334,Verrica Pharmaceuticals Inc.,30485000.0,14344000.0,7222000.0,-1781000.0,8.11,76964184.0,
DAIC,0002033770,"CID Holdco, Inc.",1257813.0,778482.0,479331.0,126833.0,1.69,46936916.0,
HAFG,0001367993,"Holistic Asset Finance Group Co., Ltd.",1689128.0,1235465.0,453663.0,190025.0,0.65,48248316.0,
TVRD,0001346830,"Tvardi Therapeutics, Inc.",5533000.0,5062000.0,2874000.0,911000.0,4.18,39214016.0,
XLO,0001840233,"Xilio Therapeutics, Inc.",30080000.0,19066000.0,11014000.0,8084000.0,0.73,38325240.0,
SCOR,0001158172,"COMSCORE, INC.",403549000.0,399460000.0,270803000.0,92405000.0,6.71,33655104.0,
MDWK,0001295514,"MDWerks, Inc.",2015261.0,1058707.0,956554.0,271894.0,0.115,26171116.0,
KTTA,0001841330,Pasithea Therapeutics Corp.,486559.0,245847.0,218608.0,27239.0,1.13,25310780.0,
VEEA,0001840317,VEEA INC.,232094.0,144926.0,87168.0,72927.0,0.4925,24704132.0,1.2628206
CODX,0001692415,"Co-Diagnostics, Inc.",9696.0,5064.0,2598.0,2466.0,0.3469,21123636.0,
SPST,0001192323,Superstar Platforms Inc.,248986.0,150665.0,98321.0,18900.0,0.095,17317540.0,
ADTI,0001420924,"Adapti, Inc.",2132101.0,2131437.0,2978.0,2030.0,2.21,17766762.0,
BTCY,0001630113,BIOTRICITY INC.,398200.0,220060.0,117640.0,102420.0,0.49,13699608.0,
SGD,0001959023,Safe & Green Development Corp,4936388.0,3515708.0,1420681.0,1402511.0,0.71,6306697.0,
GXAI,0001895618,GAXOS.AI INC.,692974.0,498271.0,194703.0,170971.0,1.18,8405674.0,
ONCO,0001782107,"Onconetix, Inc.",511775.0,303651.0,208124.0,106494.0,2.8,4354028.0,0.0022769226
XELB,0001083220,"XCel Brands, Inc.",8766000.0,8430000.0,3188000.0,2880000.0,1.04,4999047.0,
GMPW,0001064722,GIVEMEPOWER CORP,1628136.0,192992.0,464.0,0.0,0.01,437928.0,
GHLD,0001821160,Guild Holdings Co,1167841000.0,563544000.0,456871000.0,217778000.0,20.01,1246124800.0,9.905941
CODI-PB,0001345126,Compass Diversified Holdings,536612000.0,464975000.0,431525000.0,408556000.0,18.5,878733376.0,21.486643
CODI-PA,0001345126,Compass Diversified Holdings,536612000.0,464975000.0,431525000.0,408556000.0,16.31,798420160.0,18.943089
SENEB,0000088948,Seneca Foods Corp,1314765000.0,387689000.0,338470000.0,288927000.0,108.68,744604800.0,12.593279
MVCO,0000924095,"Metavesco, Inc.",83894.0,43464.0,40430.0,192.0,0.0013,5231267.0,
MTB-PJ,0000036270,M&T BANK CORP,9643000000.0,8179000000.0,8178559000.0,1982817000.0,26.38,,
MTB-PH,0000036270,M&T BANK CORP,9643000000.0,8179000000.0,8178559000.0,1982817000.0,24.745,,1.8905189
MTB-PK,0000036270,M&T BANK CORP,9643000000.0,8179000000.0,8178559000.0,1982817000.0,25.19,,
KTTAW,0001841330,Pasithea Therapeutics Corp.,486559.0,245847.0,218608.0,27239.0,0.0351,,
ANNAW,0001845123,"AleAnna, Inc.",15899878.0,11224868.0,4675010.0,4030410.0,0.1835,,
CODI-PC,0001345126,Compass Diversified Holdings,536612000.0,464975000.0,431525000.0,408556000.0,18.24,,21.18467
BZAIW,0001871638,"Blaize Holdings, Inc.",14856000.0,11867000.0,2989000.0,1982000.0,0.51,7732977.0,
DAICW,0002033770,"CID Holdco, Inc.",1257813.0,778482.0,479331.0,126833.0,0.15,,
TMCWW,0001798562,TMC the metals Co Inc.,814000.0,410000.0,179000.0,113000.0,1.7,,
TE-WT,0001992243,T1 Energy Inc.,396741000.0,210522000.0,186219000.0,132767000.0,0.6301,,
SENEL,0000088948,Seneca Foods Corp,1314765000.0,387689000.0,338470000.0,288927000.0,27.5,,
SENEM,0000088948,Seneca Foods Corp,1314765000.0,387689000.0,338470000.0,288927000.0,113.01,,
BK-PK,0001390777,Bank of New York Mellon Corp,18619000000.0,17697000000.0,17502000000.0,16529000000.0,25.38,,
UCFIW,0001901203,CN Healthy Food Tech Group Corp.,19884127.0,7905065.0,5254161.0,4291966.0,0.09,,
NUVB-WT,0001811063,Nuvation Bio Inc.,21037000.0,13120000.0,7917000.0,4833000.0,0.2901,,
VEEAW,0001840317,VEEA INC.,232094.0,144926.0,87168.0,72927.0,0.035,,
